Composition,T,GBR_Pred
Ce0.81Er0.01Gd0.10La0.08PO4,100,1.4850798910876926
Ce0.81Er0.01Gd0.10La0.08PO4,200,2.9159224552015877
Ce0.81Er0.01Gd0.10La0.08PO4,300,3.9318214632879513
Ce0.81Er0.01Gd0.10La0.08PO4,400,4.597484964262595
Ce0.81Er0.01Gd0.10La0.08PO4,500,5.029539264197583
Ce0.81Er0.01Gd0.10La0.08PO4,600,5.314064745906213
Ce0.81Er0.01Gd0.10La0.08PO4,700,5.668567619320404
Ce0.81Er0.01Gd0.10La0.08PO4,800,5.696603023883087
Ce0.81Er0.01Gd0.10La0.08PO4,900,5.679610009243484
Ce0.81Er0.01Gd0.10La0.08PO4,1000,5.865901809648592
Ce0.81Er0.01Gd0.10La0.08PO4,1100,5.8239632599036995
Ce0.81Er0.01Gd0.10La0.08PO4,1200,6.028290299929887
Ce0.81Er0.01Gd0.10La0.08PO4,1300,6.136251920435237
Ce0.81Er0.01Gd0.10La0.08PO4,1400,6.448673329811455
Ce0.81Er0.01Gd0.10La0.08PO4,1500,6.659889452315336
Ce0.81Er0.01Gd0.10La0.08PO4,1600,6.709708132243311
Ce0.81Er0.01Gd0.10La0.08PO4,1700,6.908883122163207
Ce0.81Er0.01Gd0.10La0.08PO4,1800,7.03145016124919
Ce0.81Er0.01Gd0.10La0.08PO4,1900,7.1416644949724315
Ce0.81Er0.01Gd0.10La0.08PO4,2000,7.321694391058354
Ce0.73La0.15Lu0.01Nd0.11PO4,100,1.425773721450847
Ce0.73La0.15Lu0.01Nd0.11PO4,200,2.8560123647766176
Ce0.73La0.15Lu0.01Nd0.11PO4,300,3.8719113728629813
Ce0.73La0.15Lu0.01Nd0.11PO4,400,4.537574873837625
Ce0.73La0.15Lu0.01Nd0.11PO4,500,4.969629173772613
Ce0.73La0.15Lu0.01Nd0.11PO4,600,5.254154655481243
Ce0.73La0.15Lu0.01Nd0.11PO4,700,5.608657528895434
Ce0.73La0.15Lu0.01Nd0.11PO4,800,5.636692933458117
Ce0.73La0.15Lu0.01Nd0.11PO4,900,5.6196999188185135
Ce0.73La0.15Lu0.01Nd0.11PO4,1000,5.805991719223622
Ce0.73La0.15Lu0.01Nd0.11PO4,1100,5.764053169478729
Ce0.73La0.15Lu0.01Nd0.11PO4,1200,5.968380209504917
Ce0.73La0.15Lu0.01Nd0.11PO4,1300,6.076341830010267
Ce0.73La0.15Lu0.01Nd0.11PO4,1400,6.388763239386485
Ce0.73La0.15Lu0.01Nd0.11PO4,1500,6.599979361890366
Ce0.73La0.15Lu0.01Nd0.11PO4,1600,6.649798041818341
Ce0.73La0.15Lu0.01Nd0.11PO4,1700,6.848973031738237
Ce0.73La0.15Lu0.01Nd0.11PO4,1800,6.97154007082422
Ce0.73La0.15Lu0.01Nd0.11PO4,1900,7.081754404547461
Ce0.73La0.15Lu0.01Nd0.11PO4,2000,7.2617843006333835
Gd0.46La0.25Nd0.01Sm0.08PO4,100,0.958156307555119
Gd0.46La0.25Nd0.01Sm0.08PO4,200,2.762897601453496
Gd0.46La0.25Nd0.01Sm0.08PO4,300,3.7277856022393165
Gd0.46La0.25Nd0.01Sm0.08PO4,400,4.297780490644055
Gd0.46La0.25Nd0.01Sm0.08PO4,500,4.769296327919616
Gd0.46La0.25Nd0.01Sm0.08PO4,600,5.10207583741131
Gd0.46La0.25Nd0.01Sm0.08PO4,700,5.3148008391121415
Gd0.46La0.25Nd0.01Sm0.08PO4,800,5.451142331251681
Gd0.46La0.25Nd0.01Sm0.08PO4,900,5.563134648142204
Gd0.46La0.25Nd0.01Sm0.08PO4,1000,5.702871952180931
Gd0.46La0.25Nd0.01Sm0.08PO4,1100,5.894219972159638
Gd0.46La0.25Nd0.01Sm0.08PO4,1200,6.088307811617691
Gd0.46La0.25Nd0.01Sm0.08PO4,1300,6.224151153023052
Gd0.46La0.25Nd0.01Sm0.08PO4,1400,6.26173228836025
Gd0.46La0.25Nd0.01Sm0.08PO4,1500,6.365598947590529
Gd0.46La0.25Nd0.01Sm0.08PO4,1600,6.627279638257633
Gd0.46La0.25Nd0.01Sm0.08PO4,1700,6.739188706432501
Gd0.46La0.25Nd0.01Sm0.08PO4,1800,6.847449526810588
Gd0.46La0.25Nd0.01Sm0.08PO4,1900,7.019788672240785
Gd0.46La0.25Nd0.01Sm0.08PO4,2000,7.127108679988418
Ce0.73Eu0.13La0.11Y0.03PO4,100,1.162854698323505
Ce0.73Eu0.13La0.11Y0.03PO4,200,2.563830709420503
Ce0.73Eu0.13La0.11Y0.03PO4,300,3.6185915481649267
Ce0.73Eu0.13La0.11Y0.03PO4,400,4.292613169630221
Ce0.73Eu0.13La0.11Y0.03PO4,500,4.7054227686616255
Ce0.73Eu0.13La0.11Y0.03PO4,600,4.989948250370256
Ce0.73Eu0.13La0.11Y0.03PO4,700,5.5606611576500145
Ce0.73Eu0.13La0.11Y0.03PO4,800,5.784049773125444
Ce0.73Eu0.13La0.11Y0.03PO4,900,5.906752045003648
Ce0.73Eu0.13La0.11Y0.03PO4,1000,6.093043845408756
Ce0.73Eu0.13La0.11Y0.03PO4,1100,6.06752640322481
Ce0.73Eu0.13La0.11Y0.03PO4,1200,6.271853443250998
Ce0.73Eu0.13La0.11Y0.03PO4,1300,6.3798150637563475
Ce0.73Eu0.13La0.11Y0.03PO4,1400,6.633691190939181
Ce0.73Eu0.13La0.11Y0.03PO4,1500,6.844907313443062
Ce0.73Eu0.13La0.11Y0.03PO4,1600,6.907297243867863
Ce0.73Eu0.13La0.11Y0.03PO4,1700,7.193929425397405
Ce0.73Eu0.13La0.11Y0.03PO4,1800,7.339644597767492
Ce0.73Eu0.13La0.11Y0.03PO4,1900,7.631492284991835
Ce0.73Eu0.13La0.11Y0.03PO4,2000,7.888977286570018
Ce0.67Eu0.07Gd0.11La0.03PO4,100,1.18365015556631
Ce0.67Eu0.07Gd0.11La0.03PO4,200,2.7496331232701756
Ce0.67Eu0.07Gd0.11La0.03PO4,300,3.8355015413122153
Ce0.67Eu0.07Gd0.11La0.03PO4,400,4.285559934405622
Ce0.67Eu0.07Gd0.11La0.03PO4,500,4.7864074673507355
Ce0.67Eu0.07Gd0.11La0.03PO4,600,5.082570469009575
Ce0.67Eu0.07Gd0.11La0.03PO4,700,5.461921542870075
Ce0.67Eu0.07Gd0.11La0.03PO4,800,5.5680208220416585
Ce0.67Eu0.07Gd0.11La0.03PO4,900,5.71093433665195
Ce0.67Eu0.07Gd0.11La0.03PO4,1000,5.897226137057058
Ce0.67Eu0.07Gd0.11La0.03PO4,1100,5.976124821103388
Ce0.67Eu0.07Gd0.11La0.03PO4,1200,6.170212660561441
Ce0.67Eu0.07Gd0.11La0.03PO4,1300,6.217568940097009
Ce0.67Eu0.07Gd0.11La0.03PO4,1400,6.319294135079007
Ce0.67Eu0.07Gd0.11La0.03PO4,1500,6.412201054537321
Ce0.67Eu0.07Gd0.11La0.03PO4,1600,6.676065956397138
Ce0.67Eu0.07Gd0.11La0.03PO4,1700,6.96269813792668
Ce0.67Eu0.07Gd0.11La0.03PO4,1800,6.936089434577515
Ce0.67Eu0.07Gd0.11La0.03PO4,1900,7.25279856268503
Ce0.67Eu0.07Gd0.11La0.03PO4,2000,7.715107546875579
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,100,0.843344485109316
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,200,2.426763274747568
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,300,3.2775242501056314
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,400,3.718214421209451
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,500,4.13906809190717
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,600,4.497561102581253
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,700,4.668184481640774
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,800,4.826352335784222
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,900,4.971293370741355
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1000,5.139966560499549
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1100,5.256549913938639
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1200,5.450637753396692
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1300,5.49799403293226
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1400,5.65184465971029
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1500,5.744751579168604
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1600,6.000508453810632
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1700,6.127602294895948
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1800,6.194398812331222
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1900,6.3896218263701705
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,2000,6.481008847479754
Ce0.77Eu0.06Gd0.09Lu0.08PO4,100,1.4746568523120716
Ce0.77Eu0.06Gd0.09Lu0.08PO4,200,2.905499416425967
Ce0.77Eu0.06Gd0.09Lu0.08PO4,300,3.9213984245123306
Ce0.77Eu0.06Gd0.09Lu0.08PO4,400,4.517974031599264
Ce0.77Eu0.06Gd0.09Lu0.08PO4,500,4.950028331534252
Ce0.77Eu0.06Gd0.09Lu0.08PO4,600,5.234553813242883
Ce0.77Eu0.06Gd0.09Lu0.08PO4,700,5.6111873594334964
Ce0.77Eu0.06Gd0.09Lu0.08PO4,800,5.639222763996179
Ce0.77Eu0.06Gd0.09Lu0.08PO4,900,5.622229749356576
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1000,5.808521549761684
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1100,5.763843631624638
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1200,5.968170671650826
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1300,6.076132292156176
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1400,6.330008419339009
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1500,6.54122454184289
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1600,6.660131115658575
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1700,6.8593061055784705
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1800,6.981873144664454
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1900,7.092087478387695
Ce0.77Eu0.06Gd0.09Lu0.08PO4,2000,7.272117374473617
Ce0.53Eu0.06Gd0.06La0.34PO4,100,1.3078061168162929
Ce0.53Eu0.06Gd0.06La0.34PO4,200,2.77694496686791
Ce0.53Eu0.06Gd0.06La0.34PO4,300,3.7717442865774893
Ce0.53Eu0.06Gd0.06La0.34PO4,400,4.437407787552129
Ce0.53Eu0.06Gd0.06La0.34PO4,500,4.850217386583533
Ce0.53Eu0.06Gd0.06La0.34PO4,600,5.234972323573591
Ce0.53Eu0.06Gd0.06La0.34PO4,700,5.9000118570669535
Ce0.53Eu0.06Gd0.06La0.34PO4,800,6.083276202286005
