Composition,T,GBR_Pred
Ce0.25Gd0.25La0.25Y0.25PO4,1500,5.622307811824117
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1500,5.459078074206519
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1500,5.412489731954338
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1500,5.279897751331323
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1500,5.23047235850402
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1500,5.218229600031151
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1500,5.217680146985639
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1500,5.192445855874889
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1500,5.185848694549733
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1500,5.093295144413415
