Composition,T,GBR_Pred
Er0.22Gd0.15Nd0.29Sm0.34PO4,1500,7.283321019215203
Ce0.53Eu0.06Gd0.06La0.34PO4,1500,7.214114682199533
Ce0.63Eu0.04La0.18Nd0.13PO4,1500,7.13981079237197
Ce0.56Eu0.03Gd0.11Nd0.09PO4,1500,7.050988760245293
Eu0.28Gd0.16La0.13Nd0.34Sm0.08PO4,1500,7.044994327672423
Ce0.55Gd0.07La0.07Nd0.16Sm0.15PO4,1500,7.019492113383771
Eu0.33Gd0.11Nd0.51Sm0.04PO4,1500,6.966263616609446
Ce0.51Eu0.07Gd0.07La0.31Sc0.04PO4,1500,6.9376182451961546
Ce0.62Gd0.02La0.04Sm0.15PO4,1500,6.937440519862896
Ce0.50Eu0.19Gd0.16La0.04Nd0.09PO4,1500,6.930714363628566
