Composition,T,GBR_Pred
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,100,0.6113731897107981
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,200,2.0718191673094277
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,300,3.0652955775876487
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,400,3.5995639385658595
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,500,3.932379675349861
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,600,4.206658749150019
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,700,4.408723461201805
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,800,4.5681447854712784
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,900,4.719432390225828
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1000,4.853416659654659
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1100,4.925848616233652
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1200,5.0288605764183005
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1300,5.13682219692365
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1400,5.23455504118964
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1500,5.3274619606479545
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1600,5.413583266350682
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1700,5.508346806767223
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1800,5.596746843325636
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1900,5.745343401109588
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,2000,5.8467251783510195
Eu0.25Gd0.25Sc0.25Sm0.25PO4,100,0.7215319667631617
Eu0.25Gd0.25Sc0.25Sm0.25PO4,200,2.2027644304856957
Eu0.25Gd0.25Sc0.25Sm0.25PO4,300,3.072015223516863
Eu0.25Gd0.25Sc0.25Sm0.25PO4,400,3.6476420716484883
Eu0.25Gd0.25Sc0.25Sm0.25PO4,500,4.010552373221484
Eu0.25Gd0.25Sc0.25Sm0.25PO4,600,4.284831447021632
Eu0.25Gd0.25Sc0.25Sm0.25PO4,700,4.470710481549861
Eu0.25Gd0.25Sc0.25Sm0.25PO4,800,4.624407504128964
Eu0.25Gd0.25Sc0.25Sm0.25PO4,900,4.773104272627554
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1000,4.878152656336918
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1100,4.991847656220716
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1200,5.0948596164053646
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1300,5.194805064760014
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1400,5.292537909026004
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1500,5.385444828484318
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1600,5.466589464572865
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1700,5.5760334060379195
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1800,5.690964663981776
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1900,5.786723922543852
Eu0.25Gd0.25Sc0.25Sm0.25PO4,2000,5.888105699785283
Gd0.25La0.25Sc0.25Sm0.25PO4,100,0.6807614443269493
Gd0.25La0.25Sc0.25Sm0.25PO4,200,2.12071918913335
Gd0.25La0.25Sc0.25Sm0.25PO4,300,2.976316110429799
Gd0.25La0.25Sc0.25Sm0.25PO4,400,3.539520357127478
Gd0.25La0.25Sc0.25Sm0.25PO4,500,3.9024306587004642
Gd0.25La0.25Sc0.25Sm0.25PO4,600,4.190806018955011
Gd0.25La0.25Sc0.25Sm0.25PO4,700,4.37668505348324
Gd0.25La0.25Sc0.25Sm0.25PO4,800,4.530382076062343
Gd0.25La0.25Sc0.25Sm0.25PO4,900,4.690104852799506
Gd0.25La0.25Sc0.25Sm0.25PO4,1000,4.79515323650887
Gd0.25La0.25Sc0.25Sm0.25PO4,1100,4.879805110664418
