Composition
Gd0.25La0.25Lu0.25Pr0.25PO4
Ce0.25Eu0.25Ho0.25Pr0.25PO4
Ce0.25Lu0.25Pr0.25Sm0.25PO4
La0.25Nd0.25Pr0.25Sm0.25PO4
Ce0.25Eu0.25La0.25Pr0.25PO4
Ce0.25Eu0.25Gd0.25Sm0.25PO4
Ce0.25Ho0.25La0.25Pr0.25PO4
Eu0.25Gd0.25Sc0.25Sm0.25PO4
Ce0.25La0.25Pr0.25Sm0.25PO4
Eu0.25Gd0.25La0.25Pr0.25PO4
Ce0.25Eu0.25La0.25Lu0.25PO4
Ce0.25La0.25Nd0.25Pr0.25PO4
Gd0.25La0.25Sc0.25Sm0.25PO4
Ce0.25Eu0.25Nd0.25Sm0.25PO4
Ce0.25Gd0.25Ho0.25Sm0.25PO4
Ce0.25Er0.25Eu0.25Gd0.25PO4
Eu0.25La0.25Nd0.25Sm0.25PO4
Ce0.25La0.25Nd0.25Sm0.25PO4
Ce0.25Eu0.25La0.25Y0.25PO4
Eu0.25Pr0.25Sm0.25Yb0.25PO4
Ce0.25Nd0.25Pr0.25Sm0.25PO4
Eu0.25Gd0.25Pr0.25Sm0.25PO4
Ce0.25Eu0.25Nd0.25Pr0.25PO4
La0.25Nd0.25Sm0.25Tm0.25PO4
Gd0.25La0.25Nd0.25Sm0.25PO4
Gd0.25Nd0.25Pr0.25Y0.25PO4
Ce0.25La0.25Lu0.25Pr0.25PO4
Ce0.25Gd0.25Lu0.25Sm0.25PO4
Ce0.25Gd0.25Nd0.25Yb0.25PO4
Eu0.25Nd0.25Pr0.25Sm0.25PO4
Gd0.25La0.25Pr0.25Sm0.25PO4
Eu0.25Gd0.25Nd0.25Sm0.25PO4
Eu0.25Gd0.25Lu0.25Pr0.25PO4
Eu0.25La0.25Nd0.25Tm0.25PO4
Ce0.25Gd0.25Sm0.25Y0.25PO4
Ce0.25Eu0.25La0.25Sm0.25PO4
La0.25Lu0.25Pr0.25Sm0.25PO4
Ce0.25Nd0.25Sm0.25Y0.25PO4
Er0.25Eu0.25Pr0.25Sm0.25PO4
Eu0.25La0.25Nd0.25Sc0.25PO4
Ce0.25Gd0.25Ho0.25Pr0.25PO4
Ce0.25Eu0.25Gd0.25Pr0.25PO4
Gd0.25Ho0.25La0.25Sm0.25PO4
Eu0.25La0.25Lu0.25Nd0.25PO4
Eu0.25La0.25Pr0.25Sm0.25PO4
Eu0.25Ho0.25Nd0.25Sm0.25PO4
Er0.25La0.25Nd0.25Sm0.25PO4
Eu0.25La0.25Sm0.25Tm0.25PO4
