Composition,T,GBR_Pred
Ce0.53Eu0.06Gd0.06La0.34PO4,1500,7.214114682199533
Ce0.73Eu0.13La0.11Y0.03PO4,1500,6.844907313443062
Ce0.81Er0.01Gd0.10La0.08PO4,1500,6.659889452315336
Ce0.73La0.15Lu0.01Nd0.11PO4,1500,6.599979361890366
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1500,6.54122454184289
Ce0.67Eu0.07Gd0.11La0.03PO4,1500,6.412201054537321
Gd0.46La0.25Nd0.01Sm0.08PO4,1500,6.365598947590529
Ce0.08Eu0.27Gd0.40Nd0.02PO4,1500,6.091413491652443
Eu0.30Gd0.43La0.02Nd0.04PO4,1500,5.903122165316677
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1500,5.744751579168604
