Composition,T,RF_Pred
Ce0.11Gd0.42La0.06Sm0.19PO4,1500,0.9247671926200004
Ce0.52La0.20Pr0.05Sm0.11PO4,1500,0.9381062170100004
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1500,0.9675870931800008
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1500,0.9742993208000004
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1500,0.9805513405300004
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1500,0.9927777909800004
Ce0.51Gd0.09La0.18Pr0.02PO4,1500,0.9973910161800004
Ce0.07Gd0.05La0.47Pr0.17PO4,1500,1.0005112581200004
Ce0.40Gd0.05La0.31Nd0.02PO4,1500,1.0346500297700003
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1500,1.03563873839
