Composition,T,RF_Pred
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1500,1.0343580486799997
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1500,1.1853020075800007
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1500,1.2020337694899998
Ce0.25Gd0.25La0.25Y0.25PO4,1500,1.2172877688599997
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1500,1.2183361581100003
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1500,1.2232909104500005
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1500,1.2339593139100005
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1500,1.23769129044
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1500,1.2400295221700006
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1500,1.2460026369200004
