Composition,T,RF_Pred
Ce0.81Er0.01Gd0.10La0.08PO4,1500,0.8185205910500006
Ce0.73La0.15Lu0.01Nd0.11PO4,1500,0.9016021357200008
Gd0.46La0.25Nd0.01Sm0.08PO4,1500,0.9272465690200002
Ce0.73Eu0.13La0.11Y0.03PO4,1500,0.9299243880200008
Ce0.67Eu0.07Gd0.11La0.03PO4,1500,0.9596668764800004
Ce0.40Eu0.04Gd0.02La0.39Sm0.02PO4,1500,0.96848651256
Ce0.77Eu0.06Gd0.09Lu0.08PO4,1500,0.9690232248400008
Ce0.53Eu0.06Gd0.06La0.34PO4,1500,0.9840677405200008
Eu0.30Gd0.43La0.02Nd0.04PO4,1500,0.9883919804000004
Ce0.08Eu0.27Gd0.40Nd0.02PO4,1500,0.9898445609100004
